id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
IO8XFm4B0xoZlJDp_LhS0w,Le 104,9.0,4.5,48.890225,2.370082,€€,Pajol - Place Herbert,pizza,Pizza,25,velib
lskzvgYAIPNrWq_RMpq2aA,La Maison Thaï,6.0,4.5,48.89143,2.36134,€,Pajol - Place Herbert,thai,Thai,25,velib
pf4wbF0FiRkgkrJY6nCCyQ,Thai 18,6.0,4.5,48.89003,2.36021,€€,Pajol - Place Herbert,restaurants,Restaurants,25,velib
g1M73kBmjYj3bWi37RaFtA,Péniche Antipode - Abricadabra,48.0,4.5,48.88677189326417,2.375423138381185,€,Pajol - Place Herbert,bars,Bars,25,velib
g1M73kBmjYj3bWi37RaFtA,Péniche Antipode - Abricadabra,48.0,4.5,48.88677189326417,2.375423138381185,€,Pajol - Place Herbert,musicvenues,Music Venues,25,velib
g1M73kBmjYj3bWi37RaFtA,Péniche Antipode - Abricadabra,48.0,4.5,48.88677189326417,2.375423138381185,€,Pajol - Place Herbert,venues,Venues & Event Spaces,25,velib
9s_6-zeLtobYHy28M9ccMQ,Les Routiers,31.0,4.5,48.888886,2.360083,€€,Pajol - Place Herbert,french,French,25,velib
9s_6-zeLtobYHy28M9ccMQ,Les Routiers,31.0,4.5,48.888886,2.360083,€€,Pajol - Place Herbert,bistros,Bistros,25,velib
K5T7N8ZlrilNTX6OdtjC6Q,Lomi,75.0,4.5,48.890313,2.35531,€€,Pajol - Place Herbert,coffeeroasteries,Coffee Roasteries,25,velib
Y1AgP6b5q8wT6xnpXGPBVw,Le Bassin de la Villette,6.0,4.5,48.88629,2.37494,0,Pajol - Place Herbert,landmarks,Landmarks & Historical Buildings,25,velib
Y1AgP6b5q8wT6xnpXGPBVw,Le Bassin de la Villette,6.0,4.5,48.88629,2.37494,0,Pajol - Place Herbert,boating,Boating,25,velib
jxJ6B1IGD3UsmMTOXptARA,Au Duc de la Chapelle,6.0,4.5,48.89549,2.36325,€€,Pajol - Place Herbert,bakeries,Bakeries,25,velib
17idPukUd766jj1VbvxRXg,La Forêt Noire,2.0,5.0,48.8902341898043,2.35465994280407,0,Pajol - Place Herbert,african,African,25,velib
