fsq_id,name,popularity,rating,latitude,longitude,price,station
591624431b0ea52ea821c07b,Ground Control,0.9968685553165118,8.9,48.843949,2.381492,2.0,Mairie du 12ème
4b0a8e3af964a520112523e3,Les Caves de Reuilly,0.9536362754937594,8.8,48.839307,2.390713,2.0,Mairie du 12ème
4f646c98e4b08b476f507722,La bicyclette,0.922549808313658,8.7,48.845517,2.382529,0.0,Mairie du 12ème
4adcda15f964a5209d3721e3,Accor Arena,0.9987448016708026,8.7,48.8386,2.378591,3.0,Mairie du 12ème
4d947481e923721eb3126cfe,Chez Antoine,0.9599856399022044,8.6,48.849304,2.388611,3.0,Mairie du 12ème
5c56e8e13fcee8002c58c302,Anco,0.9886324627305674,8.6,48.839282,2.380638,3.0,Mairie du 12ème
4d528e239d493704f374d939,Gusto,0.946519117535304,8.6,48.845735,2.379824,2.0,Mairie du 12ème
57fc988b498e1b3a29381f8f,Le Social Bar,0.9868453118735472,8.5,48.841798,2.375458,0.0,Mairie du 12ème
4dc790c01fc72e86376fc69c,Jardin du Musée Rodin,0.9986373629829172,9.3,48.855936,2.315479,0.0,Square Boucicaut
4adcda21f964a520fc3921e3,La Grande Épicerie de Paris,0.9994208792677398,9.3,48.850325,2.323607,3.0,Square Boucicaut
4eee19d802d514a36abd0d87,Librairie du Musée d'Orsay,0.9995283179556252,9.2,48.860074,2.326073,0.0,Square Boucicaut
533ffd0611d24e92867c9a17,Buly 1803,0.9864286594010162,9.2,48.857162,2.33489,0.0,Square Boucicaut
4cab440436fa6dcb2f6cd778,Art Gallery l'Oeil et la Main,0.9380864907642036,9.1,48.858236,2.327799,0.0,Square Boucicaut
516d9a47e4b004f2bba1f2b9,Blueberry,0.9623466705798808,9.1,48.85277,2.331454,2.0,Square Boucicaut
50d5be47e4b0fb6ff8363c5f,Le Bistro du Périgord,0.9865072730750788,9.2,48.849894,2.345194,3.0,Harpe - Saint-Germain
4adcda09f964a520eb3321e3,Place Dauphine,0.9969340667115638,9.2,48.856604,2.342638,0.0,Harpe - Saint-Germain
53568d3e498e92e5a3a56f36,Chez Nous,0.9892770948578796,9.2,48.855792,2.340081,2.0,Harpe - Saint-Germain
4adcda09f964a5200d3421e3,Parc Monceau,0.9995702452484584,9.4,48.879424,2.309228,0.0,Jouffroy d'Abbans - Wagram
50abd239e4b0869279d6a3af,Matsuhisa Paris,0.9993789519749066,9.2,48.875554,2.300601,2.0,Jouffroy d'Abbans - Wagram
5127d6aee4b0e1bb8f8a9f42,La Cantina Chic,0.9393521709166092,9.2,48.877314,2.295642,2.0,Jouffroy d'Abbans - Wagram
4f5a5636e4b03005858b31cc,Uc-61,0.9796416788736232,9.1,48.876593,2.294,3.0,Jouffroy d'Abbans - Wagram
4adcda15f964a520a53721e3,Salle Pleyel,0.9944760791692108,9.1,48.876989,2.30104,0.0,Jouffroy d'Abbans - Wagram
4c224a3611de20a1b7a084ce,Boulangerie-Pâtisserie Lohezic,0.9839523286680484,9.1,48.883326,2.298682,1.0,Jouffroy d'Abbans - Wagram
4c45eb2df1b5c9b67e0278ef,Le Crabe Marteau,0.9771443844942388,9.0,48.8764,2.290612,0.0,Jouffroy d'Abbans - Wagram
4bd816a009ecb7135f03487c,Cartier,0.99827574008223,9.0,48.87341,2.297495,0.0,Jouffroy d'Abbans - Wagram
4b5b043af964a52007df28e3,Mariage Frères,0.9801631495782376,9.0,48.87739,2.300164,2.0,Jouffroy d'Abbans - Wagram
4b1f9255f964a520052724e3,Petrus,0.9581749049429658,8.9,48.885257,2.29658,3.0,Jouffroy d'Abbans - Wagram
5838995814250b703b741f28,Il Grano,0.991522825480264,8.9,48.879739,2.286954,2.0,Guersant - Gouvion-Saint-Cyr
4c113790ce57c928a42383d2,Il était une oie dans le Sud-Ouest,0.971122577061054,8.9,48.881539,2.298976,3.0,Guersant - Gouvion-Saint-Cyr
4adcda11f964a520343621e3,Sormani,0.9728075301417928,8.9,48.875877,2.293825,2.0,Guersant - Gouvion-Saint-Cyr
546dd0fc498e1597e843450f,Bagelstein,0.989801186018296,8.8,48.875496,2.293853,1.0,Guersant - Gouvion-Saint-Cyr
4b5a3efbf964a52037b728e3,Secret Square,0.9507721173020836,8.8,48.87827,2.295016,4.0,Guersant - Gouvion-Saint-Cyr
54fc65f3498e7f86ee38def9,Boulangerie Utopie,0.9964990710484182,9.2,48.865289,2.368724,1.0,Alibert - Jemmapes
4bc30cc12a89ef3bf670f488,Place de l'Opéra,0.9998191885496563,9.5,48.870734,2.33219,0.0,Caumartin - Provence
4b736282f964a520d6ab2de3,La Maison du Whisky,0.97654167965976,9.4,48.870793,2.321555,0.0,Caumartin - Provence
4adcda09f964a5200e3421e3,Charvet Place Vendome S.A. (Place Vendôme),0.9998375317402708,9.2,48.868093,2.330245,0.0,Caumartin - Provence
50d341c7e4b03474901dccaa,Le Jardin d'Hiver,0.9983569742120944,9.2,48.867395,2.321239,2.0,Caumartin - Provence
4adcda15f964a520c53721e3,L'Olympia,0.9962291641008036,9.2,48.870196,2.328336,0.0,Caumartin - Provence
4adcda1df964a5202a3921e3,Chanel,0.997162046366345,9.2,48.868107,2.326553,0.0,Caumartin - Provence
4bc9d4260687ef3b1b88dacc,Galeries Lafayette,0.9994025360771251,9.1,48.874001,2.332106,0.0,Caumartin - Provence
4adcda08f964a5206f3321e3,Les Papilles,0.9743142922279902,9.1,48.844574,2.341712,3.0,Cassini - Denfert-Rochereau
