empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.online,extra.slots,extra.slots_available,extra.uid,network_id,extra.address,extra.last_updated,extra.renting,extra.returning
6,3,932ca22b0411ba3d293ea1549f14edad,50.9036220299626,1.81601668274417,59 : Briqueterie,2023-09-24T17:27:39.866000Z,True,9,9.0,67,vel-in,,,,
3,3,20aa0ab6b37a97250d9282779e5045be,50.9085056855888,1.93391487580794,60 : Mairie Les Attaques,2023-09-24T17:27:39.867000Z,True,9,6.0,68,vel-in,,,,
4,2,e24868e1ee129b1b489074335a702fd1,50.8946263853976,1.96506693229015,61 : Chemin du Contre Halage,2023-09-24T17:27:39.868000Z,True,9,6.0,69,vel-in,,,,
9,0,e79f429f9a94ed8f405612995d30be89,50.9571570580386,1.85349113390094,67 : Jean Macé,2023-09-24T17:27:39.874000Z,True,9,9.0,75,vel-in,,,,
7,2,23bd7204223c67583fcd12b466b0690b,50.9465696292165,1.86175279102016,65 : Valmy,2023-09-24T17:27:39.872000Z,True,9,9.0,73,vel-in,,,,
5,4,40432af8317bdd9650dd6d5d7aa324c0,50.939290040966,1.87970949681654,68 : Saint Pierre Halte,2023-09-24T17:27:39.875000Z,True,9,9.0,76,vel-in,,,,
9,0,9ec39c5e024385d359025c6192f324e6,50.9496993616027,1.85696949511488,66 : Médiathèque,2023-09-24T17:27:39.873000Z,True,9,9.0,74,vel-in,,,,
8,1,6442c2e38ff5ce956bb3334f733068d2,50.9598586856503,1.87439230139014,71 : Bitche,2023-09-24T17:27:39.876000Z,True,9,9.0,79,vel-in,,,,
7,2,cbec7babdfe3168070e9dca39a336d65,50.9095304349268,1.877007302389,62 : Bergenias,2023-09-24T17:27:39.869000Z,True,9,9.0,70,vel-in,,,,
14,1,dfe3a22af5e3a29abc2f30e67e8e7bdb,50.9520355054771,1.8536337018013,03 : Hôtel de ville,2023-09-24T17:27:39.774000Z,True,15,15.0,3,vel-in,,,,
9,6,40fcbf0cc85b5e9984038749c98f5fae,50.9543781154526,1.8910816828826,46 : Léonard De Vinci,2023-09-24T17:27:39.838000Z,True,15,15.0,49,vel-in,,,,
3,3,8c1c6a3d31eba483cdaec9b7a89834cd,50.9522424870569,1.85908508300781,13 : Pôle administratif,2023-09-24T17:27:39.801000Z,True,6,6.0,13,vel-in,,,,
2,1,df38f43581693c631beb8e5153c6b3b9,50.9508639966294,1.85983991622925,14 : Cité de la dentelle,2023-09-24T17:27:39.802000Z,True,3,3.0,14,vel-in,,,,
9,0,1b3b9b04c56908269bf0f93df20f1345,50.9523598376241,1.87945222854614,15 : Université,2023-09-24T17:27:39.803000Z,True,9,9.0,15,vel-in,,,,
14,1,b9309568753bd27f21df9099254630b5,50.94749,1.85365,THEATRE,2023-09-24T17:28:27.874000Z,,15,,stn_FsWRN3R4WEWeK93niRoEKQ,velectin,,1695576507.0,True,True
9,0,d12b90382456f60cd86e4c0d3af80309,50.95848,1.82496,MAIRIE DE BLERIOT,2023-09-24T17:28:27.872000Z,,10,,stn_vaXxSfywe4G96zCGYByrPc,velectin,,1695576507.0,True,True
10,0,5f71f7dfa65b9d9262f2f966f3f481aa,50.93609,1.80001,COQUELLES,2023-09-24T17:28:27.876000Z,,10,,stn_8WQURqherzFNRsNbRKGR5c,velectin,,1695576507.0,True,True
5,0,df6340be3e22aafbeb98c0f9a33567aa,50.9523175,1.879304115,UNIVERSITE,2023-09-24T17:28:27.876000Z,,5,,stn_8JrAxETvjn2MiNYLfpuo47,velectin,,1695576507.0,True,True
15,0,18885eecc620dfb8247e4b965eea7094,50.96496,1.84347,PLUVIOSE,2023-09-24T17:28:27.870000Z,,15,,stn_ZJGSvopEf7JCjhEknQLRvM,velectin,,1695576507.0,True,True
5,0,0272a902cd9247078766c259f2ae3e1d,50.9532622,1.850974731,Gare SNCF,2023-09-24T17:28:27.873000Z,,5,,stn_Uzajj3jSxz9fnNyxZZpqgC,velectin,,1695576507.0,True,True
9,1,1b484820df4753450d86331715b0eed7,50.949146,1.956255,MAIRIE DE MARCK,2023-09-24T17:28:27.875000Z,,10,,stn_AxsPJEA5S6naCgBYzdXQ8m,velectin,,1695576507.0,True,True
