category_alias,category_title,id
desserts,Desserts,_nILmFStE93xzMLDt7sr6g
coffeeroasteries,Coffee Roasteries,SKTQl4LX-enMA_7fFJKMzQ
french,French,VL8xQnwvbPwALQNuvqnY9g
korean,Korean,L484Kcj0HebtQtby9y9nqw
french,French,1nWamR8Gv8fPaQfsy3TbNA
beer_and_wine,"Beer, Wine & Spirits",JzfIx3vhYalXR9xuu61IOw
sandwiches,Sandwiches,JzfIx3vhYalXR9xuu61IOw
bakeries,Bakeries,BTs8KoiXPH2jLlURJvta-A
turkish,Turkish,s8WX-lVvG9RUFtpTkkku4A
tradamerican,American (Traditional),NfRFVlK7-4uV8-CcXVi0KA
cajun,Cajun/Creole,NfRFVlK7-4uV8-CcXVi0KA
french,French,XrDNvRVXmYXrYTLZZzJyow
beerbar,Beer Bar,NEEgRG1lU4yb4RfugrR43A
cocktailbars,Cocktail Bars,NEEgRG1lU4yb4RfugrR43A
vietnamese,Vietnamese,Q-iqfYih1nTEEWIWyBt8Pw
thai,Thai,Q-iqfYih1nTEEWIWyBt8Pw
wine_bars,Wine Bars,Q6mfWCz0hMu9wsfO1zQy2A
cafes,Cafes,Q6mfWCz0hMu9wsfO1zQy2A
wine_bars,Wine Bars,vS9_lZDvPPkoQndrqKo79Q
beer_and_wine,"Beer, Wine & Spirits",vS9_lZDvPPkoQndrqKo79Q
restaurants,Restaurants,vS9_lZDvPPkoQndrqKo79Q
italian,Italian,hu53X0AgSKMt8UuHjp5ZLw
wineries,Wineries,lqJ84DHC4vGOka8laTNfKw
cheese,Cheese Shops,lqJ84DHC4vGOka8laTNfKw
wine_bars,Wine Bars,lqJ84DHC4vGOka8laTNfKw
cocktailbars,Cocktail Bars,yxMjypY-Wbgwe9LtynROxw
beerbar,Beer Bar,yxMjypY-Wbgwe9LtynROxw
pizza,Pizza,yxMjypY-Wbgwe9LtynROxw
cajun,Cajun/Creole,i-x9jq6JRv8jpH8SUztwSA
coffee,Coffee & Tea,LwDEWaKJzae_Pswp4f8n5A
vegetarian,Vegetarian,dTfNXkhHxZATdgzQhUEPtA
vegan,Vegan,dTfNXkhHxZATdgzQhUEPtA
indpak,Indian,hCNPRyAorAeHoh3YsibMRA
bakeries,Bakeries,haFOSMmsts549sIVUXbttw
bakeries,Bakeries,BB7mWOm8nHIQh8Iney68Kg
italian,Italian,IO8XFm4B0xoZlJDp_LhS0w
pizza,Pizza,IO8XFm4B0xoZlJDp_LhS0w
thai,Thai,lskzvgYAIPNrWq_RMpq2aA
restaurants,Restaurants,pf4wbF0FiRkgkrJY6nCCyQ
bars,Bars,g1M73kBmjYj3bWi37RaFtA
musicvenues,Music Venues,g1M73kBmjYj3bWi37RaFtA
venues,Venues & Event Spaces,g1M73kBmjYj3bWi37RaFtA
french,French,9s_6-zeLtobYHy28M9ccMQ
bistros,Bistros,9s_6-zeLtobYHy28M9ccMQ
coffeeroasteries,Coffee Roasteries,K5T7N8ZlrilNTX6OdtjC6Q
landmarks,Landmarks & Historical Buildings,Y1AgP6b5q8wT6xnpXGPBVw
boating,Boating,Y1AgP6b5q8wT6xnpXGPBVw
bakeries,Bakeries,jxJ6B1IGD3UsmMTOXptARA
african,African,17idPukUd766jj1VbvxRXg
kebab,Kebab,-zFZOZuGQKUcaIbaGASo3A
desserts,Desserts,QW_3m4g6a_B5uQt9T96XKg
tradamerican,American (Traditional),QW_3m4g6a_B5uQt9T96XKg
bagels,Bagels,QW_3m4g6a_B5uQt9T96XKg
italian,Italian,YZ6majJgV46Oc6jdPqtQ3Q
pizza,Pizza,YZ6majJgV46Oc6jdPqtQ3Q
fooddeliveryservices,Food Delivery Services,Vh5ZEAlVv7fgDagjELw35g
japanese,Japanese,Vh5ZEAlVv7fgDagjELw35g
himalayan,Himalayan/Nepalese,rDxm1ifIiTfDH9RAsJteDg
french,French,rsnetdq0Csh1pWwfTTgH2w
hotels,Hotels,HoHyYr_1khMP763uAPctgw
cafes,Cafes,HoHyYr_1khMP763uAPctgw
coffee,Coffee & Tea,HoHyYr_1khMP763uAPctgw
cocktailbars,Cocktail Bars,b9xcHyeMHOCysmhcwUtzrg
lounges,Lounges,b9xcHyeMHOCysmhcwUtzrg
brasseries,Brasseries,M9KZBXIO6pCu2waIrYhvGQ
indpak,Indian,a41eEenOJO3wvOuGtbFX5g
srilankan,Sri Lankan,a41eEenOJO3wvOuGtbFX5g
coffee,Coffee & Tea,C0PIvZ7tUKdxi7CLIk2w4g
beerbar,Beer Bar,QiHeh_-Nmek410nrWXuJTQ
french,French,QiHeh_-Nmek410nrWXuJTQ
french,French,iSXAiRhlSfvXs4BczLSV1A
foodtours,Food Tours,iSXAiRhlSfvXs4BczLSV1A
gardeners,Gardeners,Q_Gz6_pMA3VpYbdyOMQjdg
parks,Parks,Q_Gz6_pMA3VpYbdyOMQjdg
landscapearchitects,Landscape Architects or Designers,Q_Gz6_pMA3VpYbdyOMQjdg
foodtrucks,Food Trucks,KqZSk4_ugXe5SZSfQsafNA
burgers,Burgers,KqZSk4_ugXe5SZSfQsafNA
panasian,Pan Asian,eakoVR0HKMvjtEsBILvmaQ
icecream,Ice Cream & Frozen Yogurt,YwfVd74eOszith6k5CPLvQ
foodtrucks,Food Trucks,YwfVd74eOszith6k5CPLvQ
italian,Italian,7MKN5a6TVwdwtuCtOdbf-A
pizza,Pizza,7MKN5a6TVwdwtuCtOdbf-A
pizza,Pizza,FU8FjsdashthkGM_GhB2gw
desserts,Desserts,qmFnpvyjP3708OPjyDupxA
cakeshop,Patisserie/Cake Shop,qmFnpvyjP3708OPjyDupxA
macarons,Macarons,qmFnpvyjP3708OPjyDupxA
french,French,appCOYTQUEIwoMxvos4Xug
creperies,Creperies,Vtf3s-f-EK5V1ONUxW_I5w
french,French,cApHABm0BGS4xBsOdm2ukA
spanish,Spanish,Uon80EaNfcoxmpr5SS8HoQ
cocktailbars,Cocktail Bars,Uon80EaNfcoxmpr5SS8HoQ
tapas,Tapas Bars,Uon80EaNfcoxmpr5SS8HoQ
french,French,ijKib0GFoY6mk02kdWyXRw
bars,Bars,ijKib0GFoY6mk02kdWyXRw
bakeries,Bakeries,KihX5t1xFbRgPHh22TW6xg
bars,Bars,2vMVSmKactz_MjYkfLd-PQ
chinese,Chinese,-gAuYHPoJ0vGSl5uaBHHRQ
danceclubs,Dance Clubs,jYCDR_9ACz159NXRvQOKww
pubs,Pubs,jYCDR_9ACz159NXRvQOKww
french,French,HV4cQ4pz7qVyYb3I1T4fyg
creperies,Creperies,nqb3iKcboDnrGpL3xrq23Q
coffee,Coffee & Tea,sAeOKc8TxV0Q_b2cVMJ6Zg
cafes,Cafes,sAeOKc8TxV0Q_b2cVMJ6Zg
lebanese,Lebanese,rooUGpVIJkwnYQyaCaBcZg
chinese,Chinese,SjoaLqu2jTjYjeP0IOotZQ
ramen,Ramen,SjoaLqu2jTjYjeP0IOotZQ
french,French,XIb_L5SQSzgKbMWcesBQuw
french,French,3B5NtIoQuC--Bme00uDUIA
italian,Italian,ytPPamo0GP3R3y8uCYxSRw
hookah_bars,Hookah Bars,KW9w_p_CZFUvLduYErAMEA
japanese,Japanese,TO1J6K91RjaLnu2RbXdRlA
korean,Korean,4dYX73U9ROTNQZ4GBSlg5w
cheese,Cheese Shops,dbdJFucvf4i2zpmUW8n_eQ
salad,Salad,dbdJFucvf4i2zpmUW8n_eQ
sandwiches,Sandwiches,dbdJFucvf4i2zpmUW8n_eQ
creperies,Creperies,jAAdF3qWMcVpjP-gR4EADA
bakeries,Bakeries,9-I2IlzSxJ9_55ezLGSYZw
bakeries,Bakeries,285ac4ebFwBxQP1_Tpb4vg
japanese,Japanese,gyxq68OZaFWg0yYg2vMeGA
brasseries,Brasseries,UP5jnt30VLhmmOxQ9d1fgg
korean,Korean,cXYN8hF9yPGIebcZoJVPeA
bakeries,Bakeries,kVSdrsA5BFfWEaCzLv2czQ
cafes,Cafes,ZN-ATyEKr7NoUWzk4NZ7vA
breakfast_brunch,Breakfast & Brunch,npMKQlvcITn53sh96D_Ujg
coffee,Coffee & Tea,npMKQlvcITn53sh96D_Ujg
cocktailbars,Cocktail Bars,BR25gexBROPbNOuz0XgXDQ
