category_id,category,fsq_id
13046,Ice Cream Parlor,4e63901c1f6ef7d07b2e1647
10037,Concert Hall,4d7a7c65e8b7a1cdb312991f
10039,Music Venue,4d7a7c65e8b7a1cdb312991f
10043,Theater,4d7a7c65e8b7a1cdb312991f
11094,Painter,5e4f2fdfebb4710008b9563d
11098,Roofer,5e4f2fdfebb4710008b9563d
17069,Grocery Store,5f2176eaba33525e384d6128
16032,Park,4adcda09f964a520123421e3
16032,Park,4c8660e8d92ea09381b06d72
13145,Fast Food Restaurant,4b6b2a37f964a520eef62be3
13276,Sushi Restaurant,4b6b2a37f964a520eef62be3
13035,Coffee Shop,4bfd07b78992a5930373abb0
13152,Brasserie,4bfd07b78992a5930373abb0
13347,Tapas Restaurant,4bfd07b78992a5930373abb0
13006,Beer Bar,54b7e3ef498ed956716e3da3
13007,Beer Garden,54b7e3ef498ed956716e3da3
13034,Café,54b7e3ef498ed956716e3da3
13145,Fast Food Restaurant,4be54699910020a111c6d214
13236,Italian Restaurant,4be54699910020a111c6d214
17029,Convenience Store,4e836d4be5fa5681e8c44fcc
13145,Fast Food Restaurant,4ba2167ef964a520f4da37e3
13236,Italian Restaurant,4ba2167ef964a520f4da37e3
17035,Drugstore,4d9c421d948ea093dc58cc11
13148,French Restaurant,4bab5365f964a520b7a03ae3
13145,Fast Food Restaurant,4ded16d3d4c02451f2299886
13148,French Restaurant,4ded16d3d4c02451f2299886
13145,Fast Food Restaurant,51d851d5498e62a2f7d0e07c
13334,Sandwich Spot,51d851d5498e62a2f7d0e07c
12075,Post Office,4da5c6c57ccc816e4333ae7b
17059,Butcher,5abc35b1cd441c726ef61b7e
17069,Grocery Store,5abc35b1cd441c726ef61b7e
13031,Burger Joint,4bcee92ab6c49c7485cb9791
13145,Fast Food Restaurant,4bcee92ab6c49c7485cb9791
12057,Primary and Secondary School,1a9cdb43b0fb45f3bb5abd71
17025,Electronics Store,5bfd2a4b56c89f002c2f29cc
11087,"Heating, Ventilating and Air Conditioning Contractor",43ca5f53e2a5447815dd9704
12092,Public Bathroom,43ca5f53e2a5447815dd9704
13067,African Restaurant,5eb3511b5973450008ad2937
13027,Bistro,554d1a03498e05b6d6a59027
13034,Café,554d1a03498e05b6d6a59027
13035,Coffee Shop,554d1a03498e05b6d6a59027
13031,Burger Joint,52965f8d498ea4362c60a951
13145,Fast Food Restaurant,52965f8d498ea4362c60a951
13148,French Restaurant,52965f8d498ea4362c60a951
19014,Hotel,5373d8cb498ee7d5aeceaeb1
13177,Greek Restaurant,580fd315d67c81df460e15da
13000,Dining and Drinking,5ac669545ba0462732218dea
